Subject.id,Model.idx,Log-likelihood,Correct/Total,Subject.accuracy,Model.accuracy
f9cf5e5a-710b-4775-aa50-52947e5bd4ed,3,-10.567106745194577,,0.25,0.28125
0702a86a-b28e-4696-8985-c62f54d8eaac,0,-5.545177444479562,0.0,0.0,1.0
0702a86a-b28e-4696-8985-c62f54d8eaac,1,-7.866191553971111,0.125,0.0,0.5
0702a86a-b28e-4696-8985-c62f54d8eaac,2,-5.545177444479562,0.0,0.0,0.75
0702a86a-b28e-4696-8985-c62f54d8eaac,3,-3.014161290051494,,0.0,0.78125
b2d5c0d5-7873-4952-8914-dd64821c4e29,0,-5.545177444479562,0.0,0.0,1.0
b2d5c0d5-7873-4952-8914-dd64821c4e29,1,-7.866191553971111,0.125,0.0,0.5
b2d5c0d5-7873-4952-8914-dd64821c4e29,2,-5.545177444479562,0.0,0.0,0.75
b2d5c0d5-7873-4952-8914-dd64821c4e29,3,-7.202048410148295,,0.0,0.46875
18b3380f-0660-4488-a529-b75f1adb1adb,0,-7.866191553971111,0.125,0.125,1.0
18b3380f-0660-4488-a529-b75f1adb1adb,1,-8.317766166719343,0.5,0.125,0.5
18b3380f-0660-4488-a529-b75f1adb1adb,2,-8.758241808063584,0.375,0.125,0.75
18b3380f-0660-4488-a529-b75f1adb1adb,3,-9.704060527839234,,0.125,0.34375
38d9133a-6cd8-4748-a00a-20acc4afc74f,0,-3.7073084706114394,0.875,0.875,1.0
38d9133a-6cd8-4748-a00a-20acc4afc74f,1,-8.317766166719343,0.5,0.875,0.5
38d9133a-6cd8-4748-a00a-20acc4afc74f,2,-5.884975518070357,0.75,0.875,0.75
38d9133a-6cd8-4748-a00a-20acc4afc74f,3,-12.476649250079015,,0.875,0.21875
84b90b4e-3697-4e16-9213-0dc33dc20aa8,0,-8.317766166719343,0.5,0.5,1.0
84b90b4e-3697-4e16-9213-0dc33dc20aa8,1,-8.758241808063584,0.375,0.5,0.5
84b90b4e-3697-4e16-9213-0dc33dc20aa8,2,-8.317766166719343,0.5,0.5,0.75
84b90b4e-3697-4e16-9213-0dc33dc20aa8,3,-13.862943611198906,,0.5,0.1875
8bbb90ca-bf78-4590-8949-e4ca93cdeedb,0,-3.7073084706114394,0.875,0.875,1.0
8bbb90ca-bf78-4590-8949-e4ca93cdeedb,1,-8.317766166719343,0.5,0.875,0.5
8bbb90ca-bf78-4590-8949-e4ca93cdeedb,2,-5.884975518070357,0.75,0.875,0.75
8bbb90ca-bf78-4590-8949-e4ca93cdeedb,3,-12.476649250079015,,0.875,0.21875
c3af7deb-ef7c-4658-a11f-daadd58fe68e,0,-8.758241808063584,0.375,0.375,1.0
c3af7deb-ef7c-4658-a11f-daadd58fe68e,1,-8.758241808063584,0.375,0.375,0.5
c3af7deb-ef7c-4658-a11f-daadd58fe68e,2,-8.758241808063584,0.375,0.375,0.75
c3af7deb-ef7c-4658-a11f-daadd58fe68e,3,-11.953401106314468,,0.375,0.25
c8802d14-b876-4a4f-8473-ba34cb854c00,0,-5.884975518070357,0.75,0.75,1.0
c8802d14-b876-4a4f-8473-ba34cb854c00,1,-8.317766166719343,0.5,0.75,0.5
c8802d14-b876-4a4f-8473-ba34cb854c00,2,-5.884975518070357,0.75,0.75,0.75
c8802d14-b876-4a4f-8473-ba34cb854c00,3,-11.090354888959125,,0.75,0.25
bb3c375b-8140-4740-96e4-f7a0ef85e4ef,0,-5.884975518070357,0.75,0.75,1.0
bb3c375b-8140-4740-96e4-f7a0ef85e4ef,1,-8.317766166719343,0.5,0.75,0.5
bb3c375b-8140-4740-96e4-f7a0ef85e4ef,2,-5.884975518070357,0.75,0.75,0.75
bb3c375b-8140-4740-96e4-f7a0ef85e4ef,3,-12.476649250079015,,0.75,0.21875
fbbb16d6-24fd-48cd-9aa6-ab4a694d0a20,0,-4.1588830833596715,0.5,0.5,1.0
fbbb16d6-24fd-48cd-9aa6-ab4a694d0a20,1,-4.1588830833596715,0.5,0.5,0.5
fbbb16d6-24fd-48cd-9aa6-ab4a694d0a20,2,-4.1588830833596715,0.5,0.5,0.75
fbbb16d6-24fd-48cd-9aa6-ab4a694d0a20,3,-5.545177444479562,,0.5,0.25
83ceb570-0017-452a-9ff8-b3b581db7dd8,0,-7.371947446943693,0.625,0.625,1.0
83ceb570-0017-452a-9ff8-b3b581db7dd8,1,-8.758241808063584,0.375,0.625,0.5
83ceb570-0017-452a-9ff8-b3b581db7dd8,2,-7.371947446943693,0.625,0.625,0.75
83ceb570-0017-452a-9ff8-b3b581db7dd8,3,-10.043858601430028,,0.625,0.3125
431ddd08-65c9-4ff9-b3a4-cb8d2df7d713,0,-8.657564240310139,0.25,0.25,1.0
